2000 Census Block,2000 Census Tract,Civil Court District,Congressional District,Fire Battalion,Fire Company Number,Fire Division,Health Area,Health Center District,Instructional Region,Sanitation Collection Scheduling Section and Subsection,State Senatorial District,Vacant Lot Flag,Assembly District,Election District,X Coordinate,Y Coordinate,Pseudo Address Flag,BBL,City Council District,School District (Confirmed),Building Classification Code,Complaint Type,Descriptor 1,Incident Address,Incident City,Borough,Incident Zip Code,Created Date,Police Precinct,Borough Command
3001,245,7,15,13,84,7,500,17,,1B,31,N,71,41,1000051,244333,N,1021370026,10,MANHATTAN District 6,D7,Noise - Street/Sidewalk,Loud Music/Party,600 WEST 162 STREET,NEW YORK,MANHATTAN,10032,10/9/10 0:00,Precinct 33,Manhattan North
3001,245,7,15,13,84,7,500,17,,1B,31,,71,41,1000051,244333,,,10,MANHATTAN District 6,Un,Noise - Residential,Loud Music/Party,600W WEST 162 STREET,NEW YORK,MANHATTAN,10032,10/9/10 0:00,Precinct 33,Manhattan North
3001,273,7,15,13,93,7,222,17,,,31,,71,70,1001452,249737,,,7,MANHATTAN District 6,Un,Noise - Park,Loud Music/Party,,NEW YORK,MANHATTAN,10033,10/9/10 0:00,Precinct 34,Manhattan North
3001,289,2,7,49,307,14,1022,42,,2C,13,N,34,32,1013903,212734,N,4012730044,25,QUEENS District 30,D1,Noise - Residential,Loud Music/Party,35-55 73 STREET,JACKSON HEIGHTS,QUEENS,11372,10/9/10 0:00,Precinct 115,Queens North
3001,321,6,11,38,280,15,4800,32,,1A,20,N,57,12,997386,182060,N,3012960014,35,BROOKLYN District 17,D1,Noise - Residential,Banging/Pounding,240 CROWN STREET,BROOKLYN,BROOKLYN,11225,10/9/10 0:00,Precinct 71,Brooklyn South
3001,34,2,14,4,11,1,6200,14,,4A,25,N,74,24,989234,204562,N,1004380030,2,MANHATTAN District 1,C7,Noise - Commercial,Loud Music/Party,167 AVENUE A,NEW YORK,MANHATTAN,10009,10/9/10 0:00,Precinct 9,Manhattan South
3001,385,2,10,37,214,15,3000,32,,4B,18,N,56,76,1003923,189645,N,3016470014,41,BROOKLYN District 16,B3,Noise - Residential,Loud Music/Party,718 MADISON STREET,BROOKLYN,BROOKLYN,11221,10/9/10 0:00,Precinct 81,Brooklyn North
3001,395,7,12,37,277,15,3200,34,,2A,17,N,54,22,1004953,192317,N,3032640031,34,BROOKLYN District 32,C1,Noise - Residential,Banging/Pounding,27 HIMROD STREET,BROOKLYN,BROOKLYN,11221,10/9/10 0:00,Precinct 83,Brooklyn North
3001,431,2,17,15,39,7,410,21,,3A,33,N,81,15,1017493,261036,N,2033280147,11,BRONX District 10,D1,Noise - Residential,Banging/Pounding,3530 DEKALB AVENUE,BRONX,BRONX,10467,10/9/10 0:00,Precinct 52,Bronx
3001,59,1,14,45,260,14,400,41,,3E,12,N,30,61,1004759,216989,N,4005870034,22,QUEENS District 30,C7,Noise - Commercial,Loud Music/Party,30-18 BROADWAY,ASTORIA,QUEENS,11106,10/9/10 0:00,Precinct 114,Queens North
3001,62,1,16,3,96,6,3010,26,,2A,32,N,85,29,1018889,241871,N,2037780010,18,BRONX District 12,D3,Noise - Residential,Loud Music/Party,1240 MORRISON AVENUE,BRONX,BRONX,10472,10/9/10 0:00,Precinct 43,Bronx
3001,738,8,10,33,159,15,8810,35,,6C,27,N,41,55,1001431,165636,N,3078160021,45,BROOKLYN District 22,C0,Noise - Residential,Loud Talking,1349 EAST 38 STREET,BROOKLYN,BROOKLYN,11234,10/9/10 0:00,Precinct 63,Brooklyn South
3001,743,2,9,46,324,14,1910,46,,1C,16,N,27,82,1026159,205757,N,4021510127,29,QUEENS District 28,D4,Noise - Residential,Banging/Pounding,65-10 108 STREET,FOREST HILLS,QUEENS,11375,10/9/10 0:00,Precinct 112,Queens North
3001,75,2,16,26,73,6,4000,23,,2B,32,N,79,99,1009649,236655,N,2026280001,17,BRONX District 7,D3,Noise - Residential,Banging/Pounding,665 WESTCHESTER AVENUE,BRONX,BRONX,10455,10/9/10 0:00,Precinct 40,Bronx
3001,78,4,14,8,21,3,5000,13,,2B,26,N,73,1,990890,212002,N,1009190063,4,MANHATTAN District 2,C7,Noise - Commercial,Loud Music/Party,589 3 AVENUE,NEW YORK,MANHATTAN,10016,10/9/10 0:00,Precinct 17,Manhattan South
3001,888,4,11,58,174,15,5810,33,,1B,21,N,58,58,1006430,177988,N,3046890038,42,BROOKLYN District 18,C1,Noise - Residential,Loud Music/Party,455 EAST 92 STREET,BROOKLYN,BROOKLYN,11212,10/9/10 0:00,Precinct 67,Brooklyn South
3002,106.01,4,14,8,8,3,4900,13,,3B,26,N,73,27,994613,215497,N,1013680001,5,MANHATTAN District 2,D4,Noise - Commercial,Loud Music/Party,400 EAST 57 STREET,NEW YORK,MANHATTAN,10022,10/9/10 0:00,Precinct 17,Manhattan South
3002,113,1,14,49,263,14,120,41,,2C,12,N,36,17,1009516,221565,N,4008240002,22,QUEENS District 30,S2,Noise - Commercial,Loud Music/Party,35-03 DITMARS BOULEVARD,ASTORIA,QUEENS,11105,10/9/10 0:00,Precinct 114,Queens North
3002,1196,7,10,39,107,15,6410,33,,2E,17,,40,19,1019613,185099,,,42,BROOKLYN District 19,Un,Noise - Residential,Loud Music/Party, DOSCHER STREET,BROOKLYN,BROOKLYN,11208,10/9/10 0:00,Precinct 75,Brooklyn North
3002,1275,4,5,50,125,13,2130,43,,1C,11,N,24,86,1043436,204383,N,4072290037,24,QUEENS District 26,K1,Noise - Commercial,Loud Music/Party,181-34 UNION TURNPIKE,FRESH MEADOWS,QUEENS,11365,10/9/10 0:00,Precinct 107,Queens South
3002,196,5,13,42,284,8,8010,31,,4D,22,N,49,16,982734,166525,N,3061550056,43,BROOKLYN District 20,C3,Noise - Residential,Loud Music/Party,1257 70 STREET,BROOKLYN,BROOKLYN,11228,10/9/10 0:00,Precinct 68,Brooklyn South
3002,20,1,7,3,54,6,3030,26,,1B,32,N,85,13,1021908,237136,N,2035570017,18,BRONX District 8,C0,Noise - Residential,Loud Talking,618 ST LAWRENCE AVENUE,BRONX,BRONX,10473,10/9/10 0:00,Precinct 43,Bronx
3002,211,7,15,11,47,3,1400,16,,1B,30,N,69,99,995874,234752,N,1019770034,9,MANHATTAN District 5,C7,Noise - Commercial,Loud Music/Party,1270 AMSTERDAM AVENUE,NEW YORK,MANHATTAN,10027,10/9/10 0:00,Precinct 26,Manhattan North
3002,216.02,1,7,3,64,6,1310,26,,2B,32,N,76,25,1022144,243537,N,2039360001,18,BRONX District 12,D1,Noise - Residential,Banging/Pounding,1366 WHITE PLAINS ROAD,BRONX,BRONX,10462,10/9/10 0:00,Precinct 43,Bronx
3002,221,2,16,17,44,6,2220,25,,,28,,77,34,1007276,245280,,,14,BRONX District 9,Un,Noise - Street/Sidewalk,Loud Talking,,BRONX,BRONX,10452,10/9/10 0:00,Precinct 44,Bronx
3002,226,10,15,11,37,3,1200,11,,3A,30,N,70,26,999138,235490,N,1019370027,9,MANHATTAN District 5,C4,Noise - Vehicle,Car/Truck Music,203 WEST 131 STREET,NEW YORK,MANHATTAN,10027,10/9/10 0:00,Precinct 32,Manhattan North
3002,227.01,2,16,19,42,7,2310,25,,2B,28,N,86,22,1008625,247779,N,2028490028,14,BRONX District 9,C6,Noise - Residential,Loud Talking,1723 TOWNSEND AVENUE,BRONX,BRONX,10453,10/9/10 0:00,Precinct 46,Bronx
3002,229.02,2,16,19,42,7,2310,25,,3B,33,N,77,41,1009539,246579,N,2027940015,14,BRONX District 9,D1,Noise - Residential,Loud Music/Party,1663 EASTBURN AVENUE,BRONX,BRONX,10457,10/9/10 0:00,Precinct 44,Bronx
3002,255,7,15,13,67,7,300,17,,1B,31,N,71,49,1000311,246617,N,1021390145,7,MANHATTAN District 6,D1,Noise - Residential,Loud Music/Party,720 WEST 170 STREET,NEW YORK,MANHATTAN,10032,10/9/10 0:00,Precinct 33,Manhattan North
3002,293,2,17,27,52,7,200,21,,,31,,81,82,1007950,261061,,,11,BRONX District 10,Un,Noise - Vehicle,Car/Truck Horn,,BRONX,BRONX,10463,10/9/10 0:00,Precinct 50,Bronx
3002,407.02,2,16,27,79,7,420,21,,2B,33,N,78,45,1015217,256160,N,2033020046,15,BRONX District 10,C7,Noise - Commercial,Loud Music/Party,2885 BRIGGS AVENUE,BRONX,BRONX,10458,10/9/10 0:00,Precinct 52,Bronx
3002,415,2,16,27,37,7,420,21,,2B,33,N,78,17,1016421,255658,N,2032800007,11,BRONX District 10,D1,Noise - Residential,Banging/Pounding,2960 DECATUR AVENUE,BRONX,BRONX,10458,10/9/10 0:00,Precinct 52,Bronx
3002,42,3,9,51,142,13,3000,45,,1C,15,N,23,3,1022332,187203,N,4090467501,32,QUEENS District 27,R0,Noise - Vehicle,Car/Truck Music,97-52 75 STREET,OZONE PARK,QUEENS,11416,10/9/10 0:00,Precinct 102,Queens South
3002,421,7,12,57,217,11,3200,34,,2A,17,Y,53,91,1004886,193099,Y,3032430063,34,BROOKLYN District 32,Un,Noise - Residential,Loud Music/Party,67 STOCKHOLM STREET,BROOKLYN,BROOKLYN,11221,10/9/10 0:00,Precinct 83,Brooklyn North
3002,434,5,8,42,330,8,8521,37,,1C,27,N,47,73,990088,162370,N,3065800006,44,BROOKLYN District 21,Y1,Noise - Vehicle,Car/Truck Horn,2312 65 STREET,BROOKLYN,BROOKLYN,11204,10/9/10 0:00,Precinct 62,Brooklyn South
3002,445,3,12,28,124,11,2200,34,,1A,17,N,53,61,1006150,196518,N,3032110013,34,BROOKLYN District 32,C2,Noise - Vehicle,Car/Truck Music,1332 WILLOUGHBY AVENUE,BROOKLYN,BROOKLYN,11237,10/9/10 0:00,Precinct 83,Brooklyn North
3002,48,4,14,6,5,1,5900,14,,1A,29,N,74,56,988031,206312,N,1008960015,2,MANHATTAN District 2,D5,Noise - Residential,Loud Music/Party,231 EAST 14 STREET,NEW YORK,MANHATTAN,10003,10/9/10 0:00,Precinct 13,Manhattan South
3002,491,3,12,35,108,11,1500,30,,5B,17,Y,53,56,1000056,195141,Y,3031190023,34,BROOKLYN District 14,Un,Noise - Street/Sidewalk,Loud Music/Party,26 COOK STREET,BROOKLYN,BROOKLYN,11206,10/9/10 0:00,Precinct 90,Brooklyn North
3002,575,3,12,28,106,11,300,30,,1B,17,N,50,99,996910,205482,N,3025590006,33,BROOKLYN District 14,S2,Noise - Commercial,Loud Music/Party,916 MANHATTAN AVENUE,BROOKLYN,BROOKLYN,11222,10/9/10 0:00,Precinct 94,Brooklyn North
3002,613,3,9,51,135,13,1700,46,,2E,15,N,28,1,1012587,197276,N,4036130006,30,QUEENS District 24,S2,Noise - Residential,Loud Music/Party,66-29 FRESH POND ROAD,RIDGEWOOD,QUEENS,11385,10/9/10 0:00,Precinct 104,Queens North
3002,62,5,13,40,241,8,7810,31,,2E,22,N,46,1,975585,167051,N,3060240038,43,BROOKLYN District 20,C7,Noise - Commercial,Loud Music/Party,278 84 STREET,BROOKLYN,BROOKLYN,11209,10/9/10 0:00,Precinct 68,Brooklyn South
3002,824,6,11,41,248,15,5520,35,,4B,21,,42,65,998087,175019,,,40,BROOKLYN District 17,Un,Noise - Vehicle,Car/Truck Horn,97 EAST 29 STREET,BROOKLYN,BROOKLYN,11226,10/9/10 0:00,Precinct 67,Brooklyn South
3002,98,1,7,3,47,6,3100,26,,,32,,76,69,1025048,239897,,,18,BRONX District 8,Un,Noise - Vehicle,Car/Truck Music,,BRONX,BRONX,10473,10/9/10 0:00,Precinct 43,Bronx
3003,18,2,12,4,15,1,7400,14,,2B,25,,64,54,986892,200740,,,1,MANHATTAN District 2,Un,Noise - Street/Sidewalk,Loud Music/Party, ORCHARD STREET,NEW YORK,MANHATTAN,10002,10/9/10 0:00,Precinct 7,Manhattan South
3003,233,7,15,16,23,6,620,17,,3A,30,N,71,8,998141,240698,N,1020930029,7,MANHATTAN District 6,D6,Noise - Residential,Banging/Pounding,3569 BROADWAY,NEW YORK,MANHATTAN,10031,10/9/10 0:00,Precinct 30,Manhattan North
3003,478,4,6,54,301,13,2820,44,,1E,11,,29,78,1050108,201383,,,23,QUEENS District 29,Un,Noise - Residential,Loud Music/Party,88-23 201 STREET,HOLLIS,QUEENS,11423,10/9/10 0:00,Precinct 103,Queens South
3003,503,3,12,35,216,11,700,30,,5A,17,N,53,13,998780,198427,N,3027800027,34,BROOKLYN District 14,S2,Noise - Commercial,Loud Music/Party,617 GRAND STREET,BROOKLYN,BROOKLYN,11211,10/9/10 0:00,Precinct 90,Brooklyn North
3003,505,3,12,35,108,11,1500,30,,5B,17,N,53,51,1000079,196304,N,3030790025,34,BROOKLYN District 14,C3,Noise - Commercial,Loud Music/Party,109 GRAHAM AVENUE,BROOKLYN,BROOKLYN,11206,10/9/10 0:00,Precinct 90,Brooklyn North
3003,57,1,14,45,116,14,400,41,,6C,12,N,30,56,1004412,214502,N,4006380001,26,QUEENS District 30,C7,Noise - Commercial,Loud Music/Party,34-01 36 AVENUE,ASTORIA,QUEENS,11106,10/9/10 0:00,Precinct 114,Queens North
3003,57,1,14,45,116,14,400,41,,6C,12,N,30,56,1004885,214855,N,4006380025,26,QUEENS District 30,C7,Noise - Commercial,Loud Music/Party,35-02 35 STREET,ASTORIA,QUEENS,11106,10/9/10 0:00,Precinct 114,Queens North
3003,85,1,16,26,42,6,4200,23,,1A,32,N,85,67,1012021,236379,N,2027080015,17,BRONX District 8,C0,Noise - Street/Sidewalk,Loud Talking,719 BECK STREET,BRONX,BRONX,10455,10/9/10 0:00,Precinct 41,Bronx
3004,300,1,7,20,89,7,1420,26,,1C,34,N,82,50,1030613,249641,N,2042330032,13,BRONX District 8,C0,Noise - Residential,Loud Music/Party,2886 WILKINSON AVENUE,BRONX,BRONX,10461,10/9/10 0:00,Precinct 45,Bronx
3004,374,1,17,27,32,7,810,24,,1C,36,N,80,73,1020691,256954,N,2045950114,12,BRONX District 11,C1,Noise - Residential,Banging/Pounding,3212 OLINVILLE AVENUE,BRONX,BRONX,10467,10/9/10 0:00,Precinct 47,Bronx
3004,478,4,6,54,301,13,2820,44,,,11,,29,78,1050011,201549,,,23,QUEENS District 29,Un,Noise - Residential,Loud Music/Party,,HOLLIS,QUEENS,11423,10/9/10 0:00,Precinct 103,Queens South
3005,59,1,12,32,101,11,4100,38,,1D,18,,51,1,981609,186596,,,38,BROOKLYN District 15,Un,Noise - Residential,Loud Music/Party, VISITATION PLACE,BROOKLYN,BROOKLYN,11231,10/9/10 0:00,Precinct 76,Brooklyn South
3005,608,8,9,43,169,8,8721,37,,3C,27,N,45,11,995757,151915,N,3088100065,48,BROOKLYN District 21,A2,Noise - Residential,Loud Music/Party,1122 BANNER AVENUE,BROOKLYN,BROOKLYN,11235,10/9/10 0:00,Precinct 61,Brooklyn South
3006,1241,6,9,52,152,14,2022,43,,4E,14,N,25,35,1038571,203001,N,4069710057,24,QUEENS District 25,C3,Noise - Residential,Loud Television,164-16 77 ROAD,FRESH MEADOWS,QUEENS,11366,10/9/10 0:00,Precinct 107,Queens South
3006,43,2,12,2,20,1,6800,15,,1G,25,N,64,40,985538,202761,N,1004940015,1,MANHATTAN District 2,D7,Noise - Residential,Loud Music/Party,40 PRINCE STREET,NEW YORK,MANHATTAN,10012,10/9/10 0:00,Precinct 5,Manhattan South
3006,43,2,12,2,20,1,6800,15,,,25,,64,40,985661,202698,,,1,MANHATTAN District 2,Un,Noise - Residential,Loud Music/Party,,NEW YORK,MANHATTAN,10003,10/9/10 0:00,Precinct 5,Manhattan South
3006,64,2,13,21,161,8,910,51,,1C,23,N,60,19,962069,156604,N,5032430100,50,STATEN ISLAND District 31,D1,Noise - Residential,Loud Music/Party,132 KRAMER STREET,STATEN ISLAND,STATEN ISLAND,10305,10/9/10 0:00,Precinct 122,Staten Island
3006,7,1,8,1,15,1,7700,15,,,25,N,64,96,981451,196761,N,1000260014,1,MANHATTAN District 2,D5,Noise - Residential,Loud Music/Party,37 WALL STREET,NEW YORK,MANHATTAN,10005,10/9/10 0:00,Precinct 1,Manhattan South
3007,79,1,8,2,5,1,6100,15,,3B,29,N,66,114,981897,208427,N,1006430001,3,MANHATTAN District 2,D5,Noise - Residential,Loud Music/Party,95 HORATIO STREET,NEW YORK,MANHATTAN,10014,10/9/10 0:00,Precinct 6,Manhattan South
3008,191,3,10,31,119,11,1410,36,,4E,18,N,50,8,993043,191825,N,3018880093,35,BROOKLYN District 13,M1,Noise - Street/Sidewalk,Loud Talking,433 MYRTLE AVENUE,BROOKLYN,BROOKLYN,11205,10/9/10 0:00,Precinct 88,Brooklyn North
3009,65,1,12,32,131,11,4100,38,,,25,,51,10,984430,185270,,,39,BROOKLYN District 15,Un,Noise - Commercial,Loud Talking,,BROOKLYN,BROOKLYN,11231,10/9/10 0:00,Precinct 76,Brooklyn South
3010,1171,6,5,52,274,14,1310,43,,4D,11,N,22,62,1037596,216560,N,4053310001,20,QUEENS District 25,C1,Noise - Residential,Banging/Pounding,158-17 SANFORD AVENUE,FLUSHING,QUEENS,11358,10/9/10 0:00,Precinct 109,Queens North
3025,62,3,9,51,173,13,3000,45,,4D,10,,23,29,1024655,179968,,,32,QUEENS District 27,Un,Noise - Residential,Loud Music/Party, 157 AVENUE,HOWARD BEACH,QUEENS,11414,10/9/10 0:00,Precinct 106,Queens South
3036,628,8,9,33,321,15,8900,37,,,22,,59,47,1003791,154400,,,46,BROOKLYN District 22,Un,Noise - Commercial,Banging/Pounding,,BROOKLYN,BROOKLYN,11229,10/9/10 0:00,Precinct 61,Brooklyn South
4000,123,1,16,26,82,6,2900,22,,1A,32,N,79,35,1014283,242100,N,2029760087,17,BRONX District 12,D7,Noise - Residential,Loud Music/Party,1345 SOUTHERN BOULEVARD,BRONX,BRONX,10459,10/9/10 0:00,Precinct 42,Bronx
4000,123,1,16,26,82,6,2900,22,,1A,32,,79,35,1014325,242195,,,17,BRONX District 12,Un,Noise - Residential,Loud Music/Party,1375 SOUTH BOULEVARD,BRONX,BRONX,10459,10/9/10 0:00,Precinct 42,Bronx
4000,139,3,8,9,40,3,4600,15,,3B,29,N,67,12,987966,219503,N,1010670051,6,MANHATTAN District 2,C4,Noise - Residential,Loud Music/Party,446 WEST 58 STREET,NEW YORK,MANHATTAN,10019,10/9/10 0:00,Precinct 18,Manhattan South
4000,177,2,16,17,92,6,2500,22,,3B,36,N,77,50,1008847,244103,N,2027850048,16,BRONX District 9,C1,Noise - Residential,Loud Music/Party,1369 COLLEGE AVENUE,BRONX,BRONX,10456,10/9/10 0:00,Precinct 44,Bronx
4000,179,2,16,17,44,6,2500,22,,3B,28,N,77,48,1008079,244798,N,2028310048,16,BRONX District 9,C7,Noise - Commercial,Loud Music/Party,1398 GRAND CONCOURSE,BRONX,BRONX,10456,10/9/10 0:00,Precinct 44,Bronx
4000,206,8,15,16,30,6,1600,11,,3A,30,N,68,98,1000687,233741,N,1017520069,9,MANHATTAN District 5,C4,Noise - Residential,Loud Music/Party,2 EAST 128 STREET,NEW YORK,MANHATTAN,10035,10/9/10 0:00,Precinct 25,Manhattan North
4000,216,7,15,11,40,3,2400,11,,1A,30,,68,57,996726,231664,,,9,MANHATTAN District 3,Un,Noise - Residential,Loud Music/Party, WEST 114 STREET,NEW YORK,MANHATTAN,10026,10/9/10 0:00,Precinct 28,Manhattan North
4000,217.01,2,16,19,59,7,2210,25,,2B,28,N,77,30,1008331,247823,N,2028610094,16,BRONX District 9,G9,Noise - Commercial,Loud Music/Party,1697 JEROME AVENUE,BRONX,BRONX,10453,10/9/10 0:00,Precinct 46,Bronx
4000,217.01,2,16,19,59,7,2210,25,,2B,28,N,77,30,1008547,248224,N,2028610074,16,BRONX District 9,K1,Noise - Commercial,Car/Truck Music,1753 JEROME AVENUE,BRONX,BRONX,10453,10/9/10 0:00,Precinct 46,Bronx
4000,253,7,15,13,67,7,400,17,,2A,31,N,72,7,1001190,246719,N,1021410029,10,MANHATTAN District 6,D7,Noise - Residential,Banging/Pounding,615 WEST 172 STREET,NEW YORK,MANHATTAN,10032,10/9/10 0:00,Precinct 33,Manhattan North
4000,273,2,16,19,81,7,310,21,,,33,,78,54,1011039,258385,,,14,BRONX District 10,Un,Noise - Residential,Loud Music/Party,,BRONX,BRONX,10463,10/9/10 0:00,Precinct 50,Bronx
4000,277,7,15,13,45,7,210,17,,,31,,72,35,1004482,251234,,,10,MANHATTAN District 6,Un,Noise - Residential,Loud Music/Party,,NEW YORK,MANHATTAN,10040,10/9/10 0:00,Precinct 34,Manhattan North
4000,291,7,15,13,95,7,120,17,,,31,,72,53,1004993,254916,,,10,MANHATTAN District 6,Un,Noise - Residential,Loud Music/Party,,NEW YORK,MANHATTAN,10034,10/9/10 0:00,Precinct 34,Manhattan North
4000,293,7,15,13,95,7,110,17,,4A,31,N,71,90,1006477,255206,N,1022360021,10,MANHATTAN District 6,C1,Noise - Residential,Loud Music/Party,160 VERMILYEA AVENUE,NEW YORK,MANHATTAN,10034,10/9/10 0:00,Precinct 34,Manhattan North
4000,293,7,15,13,95,7,110,17,,,31,,71,90,1006208,255072,,,10,MANHATTAN District 6,Un,Noise - Commercial,Loud Music/Party,,NEW YORK,MANHATTAN,10034,10/9/10 0:00,Precinct 34,Manhattan North
4000,32,2,14,4,11,1,6600,14,,4A,25,N,74,22,988605,204481,N,1004360014,2,MANHATTAN District 1,C1,Noise - Residential,Loud Music/Party,416 EAST 9 STREET,NEW YORK,MANHATTAN,10009,10/9/10 0:00,Precinct 9,Manhattan South
4000,321,6,11,38,280,15,4800,32,,1A,20,N,57,7,997155,181750,N,3013050009,35,BROOKLYN District 17,C7,Noise - Residential,Banging/Pounding,334 MONTGOMERY STREET,BROOKLYN,BROOKLYN,11225,10/9/10 0:00,Precinct 71,Brooklyn South
4000,328,8,8,43,318,8,9010,37,,2B,23,N,46,86,983975,149296,N,3070050015,47,BROOKLYN District 21,Un,Noise - Residential,Loud Music/Party,2820 WEST 35 STREET,BROOKLYN,BROOKLYN,11224,10/9/10 0:00,Precinct 60,Brooklyn South
4000,39,2,16,14,60,6,4500,23,,1A,28,N,84,31,1005269,235161,N,2023150011,17,BRONX District 7,C4,Noise - Residential,Banging/Pounding,320 EAST 141 STREET,BRONX,BRONX,10454,10/9/10 0:00,Precinct 40,Bronx
4000,407.02,2,17,27,79,7,420,21,,2A,33,N,78,32,1015444,256834,N,2033200044,11,BRONX District 10,D1,Noise - Residential,Loud Music/Party,222 BEDFORD PARK BOULEVARD,BRONX,BRONX,10458,10/9/10 0:00,Precinct 52,Bronx
4000,41,2,12,2,55,1,6800,15,,1A,25,N,64,35,985074,201316,N,1004710057,1,MANHATTAN District 2,S3,Noise - Vehicle,Car/Truck Music,192 GRAND STREET,NEW YORK,MANHATTAN,10013,10/9/10 0:00,Precinct 5,Manhattan South
4000,417,7,12,37,277,15,3400,34,,2A,17,N,53,5,1007159,192841,N,3033240019,34,BROOKLYN District 32,D3,Noise - Residential,Loud Music/Party,330 WILSON AVENUE,BROOKLYN,BROOKLYN,11221,10/9/10 0:00,Precinct 83,Brooklyn North
4000,431,3,12,28,124,11,3300,34,,2B,17,N,53,78,1006351,194628,N,3032580050,37,BROOKLYN District 32,C2,Noise - Residential,Loud Music/Party,235 STANHOPE STREET,BROOKLYN,BROOKLYN,11237,10/9/10 0:00,Precinct 83,Brooklyn North
4000,510,6,11,41,147,15,7210,35,,1B,20,N,42,71,995078,176042,N,3050990106,40,BROOKLYN District 22,D7,Noise - Residential,Loud Talking,522 OCEAN AVENUE,BROOKLYN,BROOKLYN,11226,10/9/10 0:00,Precinct 70,Brooklyn South
4000,516,1,7,20,53,7,720,24,,1C,34,N,82,63,1042771,249442,N,2056340019,13,BRONX District 11,K1,Noise - Commercial,Loud Music/Party,459 CITY ISLAND AVENUE,BRONX,BRONX,10464,10/9/10 0:00,Precinct 45,Bronx
4000,516,6,11,41,281,15,7210,35,,,21,,42,30,996149,172510,,,40,BROOKLYN District 22,Un,Noise - Vehicle,Car/Truck Music,,BROOKLYN,BROOKLYN,11226,10/9/10 0:00,Precinct 70,Brooklyn South
4000,64,4,14,8,16,3,5900,14,,1B,26,N,74,82,989226,208597,N,1009040040,2,MANHATTAN District 2,D9,Noise - Residential,Loud Music/Party,218 EAST 24 STREET,NEW YORK,MANHATTAN,10010,10/9/10 0:00,Precinct 13,Manhattan South
4000,98,4,14,8,8,3,5000,13,,3B,26,N,73,17,992948,215212,N,1013270013,5,MANHATTAN District 2,C7,Noise - Commercial,Loud Music/Party,229 EAST 53 STREET,NEW YORK,MANHATTAN,10022,10/9/10 0:00,Precinct 17,Manhattan South
4000,99,1,16,3,48,6,4300,23,,1A,32,N,84,84,1015006,235410,N,2027650647,17,BRONX District 8,C3,Noise - Residential,Loud Music/Party,640 BARRETTO STREET,BRONX,BRONX,10474,10/9/10 0:00,Precinct 41,Bronx
4001,124,6,14,10,44,3,4300,13,,2B,26,N,65,27,996603,218923,N,1014670010,5,MANHATTAN District 2,C7,Noise - Residential,Loud Music/Party,415 EAST 72 STREET,NEW YORK,MANHATTAN,10021,10/9/10 0:00,Precinct 19,Manhattan North
4001,127,3,8,9,54,3,4700,15,,,29,,75,95,987186,217207,,,3,MANHATTAN District 2,Un,Noise - Vehicle,Engine Idling,,NEW YORK,MANHATTAN,10019,10/9/10 0:00,Precinct 18,Manhattan South
4001,128,9,14,10,44,3,4100,13,,,26,,73,61,995112,220676,,,4,MANHATTAN District 2,Un,Noise - Vehicle,Car/Truck Music,,NEW YORK,MANHATTAN,10021,10/9/10 0:00,Precinct 19,Manhattan North
4001,14.02,2,14,4,18,1,7400,14,,2A,25,N,64,58,988027,201399,N,1003530060,1,MANHATTAN District 1,C7,Noise - Commercial,Loud Music/Party,137 RIVINGTON STREET,NEW YORK,MANHATTAN,10002,10/9/10 0:00,Precinct 7,Manhattan South
4001,153,5,8,9,35,3,4000,15,,1A,29,,67,30,989125,222440,,,6,MANHATTAN District 3,Un,Noise - Commercial,Loud Talking, WEST 70 STREET,NEW YORK,MANHATTAN,10023,10/9/10 0:00,Precinct 20,Manhattan North
4001,153,6,11,48,220,11,4600,39,,5D,18,N,44,6,989339,183180,N,3009950019,39,BROOKLYN District 15,C0,Noise - Residential,Loud Music/Party,432 6 STREET,BROOKLYN,BROOKLYN,11215,10/9/10 0:00,Precinct 78,Brooklyn South
4001,166,6,15,10,53,3,2810,12,,1A,28,N,68,14,998153,226169,N,1016260001,8,MANHATTAN District 2,D9,Noise - Residential,Banging/Pounding,1536 LEXINGTON AVENUE,NEW YORK,MANHATTAN,10029,10/9/10 0:00,Precinct 23,Manhattan North
4001,183,2,7,49,325,14,910,41,,2E,12,N,37,30,1006089,210671,N,4001620019,26,QUEENS District 30,D1,Noise - Street/Sidewalk,Loud Music/Party,43-09 43 STREET,SUNNYSIDE,QUEENS,11104,10/9/10 0:00,Precinct 108,Queens North
4001,189,2,16,17,68,6,3310,22,,1A,28,N,77,3,1003227,242641,N,2025270001,17,BRONX District 9,D1,Noise - Residential,Loud Music/Party,1001 UNIVERSITY AVENUE,BRONX,BRONX,10452,10/9/10 0:00,Precinct 44,Bronx
4001,198,8,15,12,14,3,1600,11,,3B,30,N,68,86,1000302,232725,N,1017490010,9,MANHATTAN District 5,D1,Noise - Street/Sidewalk,Loud Music/Party,17 EAST 124 STREET,NEW YORK,MANHATTAN,10035,10/9/10 0:00,Precinct 25,Manhattan North
4001,217.01,2,16,19,59,7,2210,25,,1B,28,N,77,30,1007932,247657,N,2028610013,16,BRONX District 9,D1,Noise - Residential,Banging/Pounding,1672 DAVIDSON AVENUE,BRONX,BRONX,10453,10/9/10 0:00,Precinct 46,Bronx
